Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,exclusion_reason,reactant1_code,reactant2_code
4609,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",None,2.5,MeOH/H2O_V2 9:1,40.54,7175407.0,original_solvent_exclusion,,
4610,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",None,2.5,MeOH/H2O_V2 9:1,54.63,11546850.0,original_solvent_exclusion,,
4611,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,AmPhos,"0,1250",None,2.5,MeOH/H2O_V2 9:1,46.2,11398206.0,original_solvent_exclusion,,
4612,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Cy)3,"0,1250",None,2.5,MeOH/H2O_V2 9:1,48.27,9396995.0,original_solvent_exclusion,,
4613,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(o-Tol)3,"0,1250",None,2.5,MeOH/H2O_V2 9:1,71.23,15189527.0,original_solvent_exclusion,,
4614,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,CataCXium A,"0,1250",None,2.5,MeOH/H2O_V2 9:1,68.09,12883853.0,original_solvent_exclusion,,
4615,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,SPhos,"0,1250",None,2.5,MeOH/H2O_V2 9:1,49.8,12470617.0,original_solvent_exclusion,,
4616,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dtbpf,"0,1250",None,2.5,MeOH/H2O_V2 9:1,45.95,8664474.0,original_solvent_exclusion,,
4617,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,XPhos,"0,1250",None,2.5,MeOH/H2O_V2 9:1,66.52,17127834.0,original_solvent_exclusion,,
4618,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,dppf,"0,1250",None,2.5,MeOH/H2O_V2 9:1,44.06,8000856.5,original_solvent_exclusion,,
4619,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,Xantphos,"0,1250",None,2.5,MeOH/H2O_V2 9:1,29.84,5423777.0,original_solvent_exclusion,,
4620,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,None,,None,2.5,MeOH/H2O_V2 9:1,54.29,15453940.0,original_solvent_exclusion,,
4621,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(tBu)3,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,54.51,11397217.0,original_solvent_exclusion,,
4622,6-quinoline-boronic acid hydrochloride,"1e, 6-BOH2-Q",1.0,0.0004,"2d, Bromide",1.0,Pd(OAc)2,0.0625,P(Ph)3,"0,1250",NaOH,2.5,MeOH/H2O_V2 9:1,63.7,12529527.0,original_solvent_exclusion,,
